year,date,province,match_type,confidence,themes,assets,title,url
"2026","2026-06-15","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Trường Long Hòa phát huy lợi thế phát triển kinh tế biển","https://baovinhlong.com.vn/kinh-te/202606/truong-long-hoa-phat-huy-loi-the-phat-trien-kinh-te-bien-62d49fc/"
"2026","2026-06-14","Bến Tre","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề; Ẩm thực - đặc sản","Bến Tre - xứ Dừa/An Hội","Khai mạc Tuần lễ Văn hóa, Du lịch, Ẩm thực bánh dân gian Nam Bộ - Vị ngon xứ dừa phường An Hội","https://baovinhlong.com.vn/kinh-te/thuong-mai-dich-vu/202606/khai-mac-tuan-le-van-hoa-du-lich-am-thuc-banh-dan-gian-nam-bo-vi-ngon-xu-dua-phuong-an-hoi-ce310af/"
"2026","2026-06-13","Vĩnh Long; Bến Tre","destination_event","medium","Du lịch chung/chiến lược; Sông nước - miệt vườn; Ẩm thực - đặc sản","Bến Tre - xứ Dừa/An Hội","Khai mạc Tuần lễ Văn hóa - Ẩm thực “Bến Tre Tết Đoan Ngọ xứ Dừa” năm 2026","https://baovinhlong.com.vn/nhip-song-dong-bang/202606/khai-mac-tuan-le-van-hoa-am-thuc-ben-tre-tet-doan-ngo-xu-dua-nam-2026-78c0d4f/"
"2026","2026-06-12","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Khai trương Vietravel chi nhánh Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202606/khai-truong-vietravel-chi-nhanh-vinh-long-9661c6a/"
"2026","2026-06-10","Trà Vinh","destination_event","medium","Sông nước - miệt vườn; Văn hóa Khmer - lễ hội","Ao Bà Om - Chùa Hang","Ngắm đàn cò trắng tạo hình sống động ở chùa Hang","https://baovinhlong.com.vn/phong-su-anh/202606/chum-anh-ngam-dan-co-trang-tao-hinh-song-dong-o-chua-hang-24a6cff/"
"2026","2026-06-01","Vĩnh Long","direct_lead","high","Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Rộn ràng lễ hội Hạ Điền – Kỳ Yên","https://baovinhlong.com.vn/van-hoa-giai-tri/202606/ron-rang-le-hoi-ha-dien-ky-yen-40a25b5/"
"2026","2026-05-28","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Tạo nền tảng số phát triển văn hóa, thể thao và du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/tao-nen-tang-so-phat-trien-van-hoa-the-thao-va-du-lich-2cb4abd/"
"2026","2026-05-24","Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Cộng đồng - nông thôn","Bến Tre - xứ Dừa/An Hội","Liên kết khai thác tiềm năng, tạo đà phát triển du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/lien-ket-khai-thac-tiem-nang-tao-da-phat-trien-du-lich-53f40ac/"
"2026","2026-05-22","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Ba Động - Trường Long Hòa","Bình minh Ba Động- Bản giao hưởng ánh sáng của biển miền Tây","https://baovinhlong.com.vn/multimedia/202605/binh-minh-ba-dong-ban-giao-huong-anh-sang-cua-bien-mien-tay-8433735/"
"2026","2026-05-17","Vĩnh Long","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề","","Kỳ 3: Làng nghề “thức giấc” bên những dòng sông","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/khai-mo-tiem-nang-phat-trien-cong-nghiep-van-hoa-ky-3-lang-nghe-thuc-giac-ben-nhung-dong-song-6526ce6/"
"2026","2026-05-15","Vĩnh Long","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Kỳ 2: Phát triển du lịch gắn với giữ gìn bản sắc địa phương","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/khai-mo-tiem-nang-phat-trien-cong-nghiep-van-hoa-ky-2-phat-trien-du-lich-gan-voi-giu-gin-ban-sac-dia-phuong-3f609a6/"
"2026","2026-05-15","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Biển - sinh thái ven biển","Bình Đại/Ba Tri","Ra mắt Chi hội du lịch Bình Đại","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/ra-mat-chi-hoi-du-lich-binh-dai-5ac5d6b/"
"2026","2026-05-14","Vĩnh Long; Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Trường Long Hòa tập trung khai thác tiềm năng du lịch và kinh tế biển","https://baovinhlong.com.vn/kinh-te/202605/truong-long-hoa-tap-trung-khai-thac-tiem-nang-du-lich-va-kinh-te-bien-108088d/"
"2026","2026-05-10","Vĩnh Long; Trà Vinh","destination_event","medium","Làng nghề - di sản nghề; Văn hóa Khmer - lễ hội; Ẩm thực - đặc sản; Di tích - bảo tàng - tâm linh","Dừa sáp Cầu Kè","Một ngày ở “thủ phủ” dừa sáp Cầu Kè","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/mot-ngay-o-thu-phu-dua-sap-cau-ke-5a63907/"
"2026","2026-05-07","Vĩnh Long; Trà Vinh","destination_event","medium","Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Hãng máy ảnh Canon chọn biển Ba Động tổ chức hội thảo, chia sẻ về kiến thức nhiếp ảnh","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/hang-may-anh-canon-chon-bien-ba-dong-to-chuc-hoi-thaochia-se-ve-kien-thuc-nhiep-anh-d191781/"
"2026","2026-05-07","Vĩnh Long; Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ao Bà Om - Chùa Hang","Kết nối, gặp gỡ gần 40 doanh nghiệp, hội viên du lịch khu vực Trà Vinh","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/ket-noi-gap-go-gan-40-doanh-nghiep-hoi-vien-du-lich-khu-vuc-tra-vinh-c3f3c46/"
"2026","2026-05-05","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Điểm đến “An toàn- thân thiện- chất lượng”","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/diem-den-an-toan-than-thien-chat-luong-9c8410c/"
"2026","2026-05-04","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Sông nước - miệt vườn; Ẩm thực - đặc sản; Di tích - bảo tàng - tâm linh","Bến Tre - xứ Dừa/An Hội","Phường Bến Tre bế mạc Tuần lễ Văn hóa - Ẩm thực năm 2026","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/phuong-ben-tre-be-mac-tuan-le-van-hoa-am-thuc-nam-2026-0090994/"
"2026","2026-05-01","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược","","Bảo đảm an toàn, nâng cao chất lượng phục vụ du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/bao-dam-an-toan-nang-cao-chat-luong-phuc-vu-du-lich-59d3a28/"
"2026","2026-04-30","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Ẩm thực - đặc sản","","Đưa ẩm thực trở thành sản phẩm du lịch đặc trưng","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/dua-am-thuc-tro-thanh-san-pham-du-lich-dac-trung-83f421e/"
"2026","2026-04-30","Bến Tre","direct_title","high","Du lịch chung/chiến lược; Làng nghề - di sản nghề","Bến Tre - xứ Dừa/An Hội; Cồn Phụng/Lan Vương/Phú Túc","Ra mắt “Xóm nghề Lan Vương” phục vụ du khách trải nghiệm dịp lễ 30/4 và 1/5","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/ra-mat-xom-nghe-lan-vuong-phuc-vu-du-khach-trai-nghiem-dip-le-304-va-15-c942616/"
"2026","2026-04-27","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Ẩm thực - đặc sản","","Vinh danh 29 nghệ nhân nghề bếp, nghề bánh, nghề điêu khắc củ, quả","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/vinh-danh-29-nghe-nhan-nghe-bep-nghe-banh-nghe-dieu-khac-cu-qua-98a0e9c/"
"2026","2026-04-23","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề; Văn hóa Khmer - lễ hội","Mang Thít - gạch gốm; Ok Om Bok/Khmer","Phát huy tiềm năng, lợi thế đưa du lịch tỉnh phát triển","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/phat-huy-tiem-nang-loi-the-dua-du-lich-tinh-phat-trien-34f44d2/"
"2026","2026-04-22","Vĩnh Long","direct_title","high","Du lịch chung/chiến lược; Làng nghề - di sản nghề","Mang Thít - gạch gốm","Phát triển sản phẩm du lịch đặc thù từ làng nghề gạch, gốm","https://baovinhlong.com.vn/phong-su-ky-su/202604/phat-trien-san-pham-du-lich-dac-thu-tu-lang-nghe-gach-gom-7f54c8b/"
"2026","2026-04-22","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược","","Vĩnh Long ban hành Bộ tiêu chí du lịch xanh","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/vinh-long-ban-hanh-bo-tieu-chi-du-lich-xanh-ae52034/"
"2026","2026-04-19","Vĩnh Long","direct_lead","high","Du lịch chung/chiến lược; Văn hóa Khmer - lễ hội","","Vĩnh Long tham gia “Ngày Văn hóa các dân tộc Việt Nam 19/4 năm 2026”","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/vinh-long-tham-gia-ngay-van-hoa-cac-dan-toc-viet-nam-194-nam-2026-80320dc/"
"2026","2026-04-18","Vĩnh Long; Bến Tre","direct_title","high","Du lịch chung/chiến lược","Bến Tre - xứ Dừa/An Hội","Họp mặt doanh nghiệp du lịch năm 2026","https://baovinhlong.com.vn/thoi-su/202604/nam-2026-nganh-du-lich-tinh-dung-truoc-nhieu-co-hoi-va-thach-thuc-10c2093/"
"2026","2026-04-17","Bến Tre","direct_lead","high","Biển - sinh thái ven biển","Bình Đại/Ba Tri","Hè sôi động với cánh đồng diều ở Ba Tri","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/he-soi-dong-voi-canh-dong-dieu-o-ba-tri-242433c/"
"2026","2026-04-17","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề; Cộng đồng - nông thôn","Mang Thít - gạch gốm; Cù lao An Bình - Long Hồ","Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Trần Trí Quang khảo sát thực tế Khu lò gạch, gốm Mang Thít và các điểm du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/pho-bi-thu-tinh-uy-chu-tich-ubnd-tinh-tran-tri-quang-khao-sat-thuc-te-khu-lo-gach-gom-mang-thit-va-cac-diem-du-lich-3524beb/"
"2026","2026-04-16","Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Cộng đồng - nông thôn","Cồn Phụng/Lan Vương/Phú Túc","Phú Túc khai thác lợi thế tiềm năng du lịch xanh","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/phu-tuc-khai-thac-loi-the-tiem-nang-du-lich-xanh-24909d2/"
"2026","2026-04-11","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Bứt phá từ các ngành dịch vụ, tạo động lực tăng trưởng","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/but-pha-tu-cac-nganh-dich-vu-tao-dong-luc-tang-truong-62b4453/"
"2026","2026-04-10","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược","","Kết nối du lịch ĐBSCL với Hà Nội và các tỉnh phía Bắc","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/ket-noi-du-lich-dbscl-voi-ha-noi-va-cac-tinh-phia-bac-c7445aa/"
"2026","2026-04-10","Vĩnh Long","direct_title","high","Du lịch chung/chiến lược","","Quảng bá du lịch Vĩnh Long tại Hội chợ Du lịch Quốc tế Việt Nam","https://baovinhlong.com.vn/kinh-te/202604/quang-ba-du-lich-vinh-long-tai-hoi-cho-du-lich-quoc-te-viet-nam-72914bd/"
"2026","2026-04-08","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược","","Đẩy mạnh liên kết, kiến tạo hành trình du lịch chất lượng","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/day-manh-lien-ket-kien-tao-hanh-trinh-du-lich-chat-luong-65d07fa/"
"2026","2026-04-08","Vĩnh Long","direct_lead","high","Du lịch chung/chiến lược; Văn hóa Khmer - lễ hội","","Vĩnh Long mang sắc màu văn hóa Nam Bộ ra Thủ đô Hà Nội","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/vinh-long-mang-sac-mau-van-hoa-nam-bo-ra-thu-do-ha-noi-f2e3866/"
"2026","2026-04-07","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Cộng đồng - nông thôn","Cồn Phụng/Lan Vương/Phú Túc","Ra mắt Chi hội Du lịch xã Phú Túc","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/ra-mat-chi-hoi-du-lich-xa-phu-tuc-d5b32f7/"
"2026","2026-04-05","Vĩnh Long","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Trưng bày, giới thiệu hơn 1 ngàn ấn phẩm của tỉnh tại Ngày hội Du lịch TP Hồ Chí Minh","https://baovinhlong.com.vn/kinh-te/202604/trung-bay-gioi-thieu-hon-1-ngan-an-pham-cua-tinh-tai-ngay-hoi-du-lich-tp-ho-chi-minh-2e60821/"
"2026","2026-03-31","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược","","Tọa đàm “Liên kết, hợp tác phát triển tour - tuyến, sản phẩm du lịch tại Vĩnh Long”","https://baovinhlong.com.vn/xa-hoi/du-lich/202603/toa-dam-lien-ket-hop-tac-phat-trien-tour-tuyen-san-pham-du-lich-tai-vinh-long-1d91728/"
"2026","2026-03-28","Vĩnh Long; Trà Vinh","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Tăng cường kết nối quảng bá văn hóa, du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202603/tang-cuong-ket-noi-quang-ba-van-hoa-du-lich-9ca1091/"
"2026","2026-03-24","Vĩnh Long","destination_event","medium","Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","Văn Thánh Miếu","Lễ Xuân Đinh- nét đẹp văn hóa tại di tích Văn Thánh miếu","https://baovinhlong.com.vn/van-hoa-giai-tri/202603/le-xuan-dinh-net-dep-van-hoa-tai-di-tich-van-thanh-mieu-2023470/"
"2026","2026-03-20","Bến Tre","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","Bến Tre - xứ Dừa/An Hội","Bồi dưỡng nghiệp vụ du lịch cho công chức xã, phường khu vực Bến Tre","https://baovinhlong.com.vn/xa-hoi/202603/boi-duong-nghiep-vu-du-lich-cho-cong-chuc-xa-phuong-khu-vuc-ben-tre-0301103/"
"2026","2026-03-19","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Điểm nhấn hấp dẫn du lịch đường thủy","https://baovinhlong.com.vn/xa-hoi/du-lich/202603/diem-nhan-hap-dan-du-lich-duong-thuy-28331ea/"
"2026","2026-03-04","Vĩnh Long; Trà Vinh","destination_event","medium","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Di sản văn hóa phi vật thể quốc gia- Lễ hội Nguyên Tiêu","https://baovinhlong.com.vn/phong-su-anh/202603/di-san-van-hoa-phi-vat-the-quoc-gia-le-hoi-nguyen-tieu-b955ae0/"
"2026","2026-03-04","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Phong phú các hoạt động tuần lễ văn hóa xã Đại An","https://baovinhlong.com.vn/van-hoa-giai-tri/202603/phong-phu-cac-hoat-dong-tuan-le-van-hoa-xa-dai-an-c780fe2/"
"2026","2026-03-03","Vĩnh Long; Trà Vinh","destination_event","medium","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Công bố quyết định đưa “Lễ hội Nguyên Tiêu ở Trà Cú” vào danh mục di sản văn hóa phi vật thể quốc gia","https://baovinhlong.com.vn/van-hoa-giai-tri/202603/cong-bo-quyet-dinh-dua-le-hoi-nguyen-tieu-o-tra-cu-vao-danh-muc-di-san-van-hoa-phi-vat-the-quoc-gia-ba52ad3/"
"2026","2026-03-01","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược","","Đẩy mạnh hoạt động quảng bá, xúc tiến du lịch năm 2026","https://baovinhlong.com.vn/xa-hoi/du-lich/202603/day-manh-hoat-dong-quang-ba-xuc-tien-du-lich-nam-2026-9ba3f28/"
"2026","2026-02-26","Vĩnh Long; Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Khai mạc Tuần lễ Văn hóa, Thể thao và Du lịch xã Đại An","https://baovinhlong.com.vn/van-hoa-giai-tri/202602/khai-mac-tuan-le-van-hoa-the-thao-va-du-lich-xa-dai-an-f3a077d/"
"2026","2026-02-25","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Đại An sẵn sàng vào mùa Lễ hội Nguyên tiêu","https://baovinhlong.com.vn/van-hoa-giai-tri/202602/dai-an-san-sang-vao-mua-le-hoi-nguyen-tieu-91e0433/"
"2026","2026-02-25","Trà Vinh","destination_event","medium","Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Độc đáo Lễ hội Nguyên tiêu","https://baovinhlong.com.vn/van-hoa-giai-tri/202602/doc-dao-le-hoi-nguyen-tieu-fd103c9/"
"2026","2026-02-23","Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ok Om Bok/Khmer","Lễ hội Nguyên tiêu gắn với Tuần lễ Văn hóa, Thể thao và Du lịch xã Đại An diễn ra từ ngày 25/2- 3/3","https://baovinhlong.com.vn/thoi-su/202602/le-hoi-nguyen-tieu-gan-voi-tuan-le-van-hoa-the-thao-va-du-lich-xa-dai-an-dien-ra-tu-ngay-252-33-5ad0467/"
"2026","2026-02-21","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","Cù lao An Bình - Long Hồ","Các khu di tích đón gần 50.000 lượt khách dịp Tết Nguyên đán","https://baovinhlong.com.vn/xa-hoi/du-lich/202602/cac-khu-di-tich-don-tiep-gan-50000-luot-khachdip-tet-nguyen-dan-0c0071f/"
"2026","2026-02-20","Vĩnh Long; Trà Vinh","direct_title","high","Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ao Bà Om - Chùa Hang; Ok Om Bok/Khmer","Thắng cảnh Ao Bà Om thu hút khách du xuân","https://baovinhlong.com.vn/phong-su-anh/202602/thang-canh-ao-ba-om-thu-hut-khach-du-xuan-3db0b58/"
"2026","2026-02-20","Trà Vinh","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Trên 16.000 lượt khách đến Khu du lịch Biển Ba Động dịp Tết","https://baovinhlong.com.vn/xa-hoi/du-lich/202602/tren-16000-luot-khach-den-khu-du-lich-bien-ba-dong-dip-tet-0620e93/"
"2026","2026-02-19","Vĩnh Long","direct_lead","high","Sông nước - miệt vườn; Làng nghề - di sản nghề; Ẩm thực - đặc sản; Cộng đồng - nông thôn","Cù lao An Bình - Long Hồ","Sắc màu “bản đồ ẩm thực” Vĩnh Long","https://baovinhlong.com.vn/van-hoa-giai-tri/202602/sac-mau-ban-do-am-thuc-vinh-long-c4f07a9/"
"2026","2026-02-17","Vĩnh Long","tourism_category","high","Sông nước - miệt vườn","Cù lao An Bình - Long Hồ","Sông nước miệt vườn An Bình giữ chân du khách","https://baovinhlong.com.vn/xa-hoi/du-lich/202602/song-nuoc-miet-vuon-an-binh-giu-chan-du-khach-c180357/"
"2026","2026-02-16","Vĩnh Long; Trà Vinh","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Ẩm thực - đặc sản; Cộng đồng - nông thôn","","Du lịch tăng tốc bứt phá với không gian mới","https://baovinhlong.com.vn/xa-hoi/du-lich/202602/du-lich-tang-toc-buc-pha-voi-khong-gian-moi-3d90216/"
"2026","2026-02-10","Trà Vinh","destination_event","medium","Sông nước - miệt vườn; Làng nghề - di sản nghề; Ẩm thực - đặc sản","","Sắc xuân chợ quê","https://baovinhlong.com.vn/nhip-song-dong-bang/202602/sac-xuan-cho-que-c374322/"
"2026","2026-02-09","Bến Tre","destination_event","medium","Sông nước - miệt vườn","Cù lao An Bình - Long Hồ; Bến Tre - xứ Dừa/An Hội","Ngày hội “Chợ nổi - Văn hóa sông nước Nam Bộ”","https://baovinhlong.com.vn/nhip-song-dong-bang/202602/ngay-hoi-cho-noi-van-hoa-song-nuoc-nam-bo-4642f3e/"
"2026","2026-01-30","Vĩnh Long","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề; Văn hóa Khmer - lễ hội; Ẩm thực - đặc sản","Cù lao An Bình - Long Hồ; Ok Om Bok/Khmer","Mời đến hội chợ Xuân xem livestream bán hàng, trải nghiệm gói bánh tét Trà Cuôn","https://baovinhlong.com.vn/phong-su-anh/202601/moi-den-hoi-cho-xuan-xem-livestream-ban-hang-trai-nghiem-goi-banh-tet-tra-cuon-194357b/"
"2026","2026-01-25","Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Biển - sinh thái ven biển","Ba Động - Trường Long Hòa","Khu du lịch biển Ba Động sẵn sàng đón khách","https://baovinhlong.com.vn/tieu-diem/202601/khu-du-lich-bien-ba-dong-san-sang-don-khach-6131e1a/"
"2026","2026-01-20","Vĩnh Long","destination_event","medium","Di tích - bảo tàng - tâm linh","Lăng Ông Trà Ôn","Tổ chức đặt cây ước nguyện tại Lăng Ông","https://baovinhlong.com.vn/van-hoa-giai-tri/202601/to-chuc-dat-cay-uoc-nguyen-tai-lang-ong-4d140e2/"
"2026","2026-01-11","Bến Tre","destination_event","medium","Sông nước - miệt vườn; Làng nghề - di sản nghề","Chợ Lách - hoa kiểng","Làng nghề cúc mâm xôi Long Thới rộn ràng sắc xuân","https://baovinhlong.com.vn/nhip-song-dong-bang/202601/lang-nghe-cuc-mam-xoi-long-thoi-ron-rang-sac-xuan-97e5de6/"
"2026","2026-01-06","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược","","Du lịch khởi động năm 2026 với kết quả tích cực","https://baovinhlong.com.vn/xa-hoi/du-lich/202601/du-lich-khoi-dong-nam-2026-voi-ket-qua-tich-cuc-52f005b/"
