key,name,q,lat,lon,coord_note,display_name
"vinh_long_center","Trung tâm Vĩnh Long","Vinh Long city, Vietnam","10.2526939","105.9410019","nominatim","Thành phố Vĩnh Long, Phường Tân Hạnh, Tỉnh Vĩnh Long, Việt Nam"
"cu_lao_an_binh","Cù lao An Bình","An Binh island, Vinh Long, Vietnam","10.253","105.945","manual_adjusted","ferry to An Binh Island 2025, Xóm Chài, Phường Long Châu, Vĩnh Long, Tỉnh Vĩnh Long, 85067, Việt Nam"
"mang_thit_pottery","Làng gạch gốm Mang Thít","Mang Thit, Vinh Long, Vietnam","10.179","106.106","manual_adjusted","Huyện Mang Thít, Xã Cái Nhum, Tỉnh Vĩnh Long, Việt Nam"
"van_thanh_mieu","Văn Thánh Miếu Vĩnh Long","Van Thanh Mieu Vinh Long Vietnam","10.249","105.972","manual_adjusted","Văn Thánh Miếu Vĩnh Long, Đường Trần Phú, Phường Phước Hậu, Tỉnh Vĩnh Long, 85108, Việt Nam"
"lang_ong_tra_on","Lăng Ông Trà Ôn","Tra On, Vinh Long, Vietnam","9.965","105.926","manual_adjusted","Trà Ôn, Xã Trà Ôn, Tỉnh Vĩnh Long, Việt Nam"
"tra_vinh_center","Trung tâm Trà Vinh","Tra Vinh city, Vietnam","9.9377176","106.339978","nominatim","Trà Vinh, Phường Trà Vinh, Tỉnh Vĩnh Long, Việt Nam"
"ao_ba_om","Ao Bà Om","Ao Ba Om, Tra Vinh, Vietnam","9.923","106.342","manual_adjusted",""
"chua_hang","Chùa Hang Trà Vinh","Chua Hang, Tra Vinh, Vietnam","9.898","106.357","manual_adjusted",""
"bien_ba_dong","Biển Ba Động","Ba Dong beach, Tra Vinh, Vietnam","9.64","106.566","manual_adjusted",""
"cau_ke_dua_sap","Cầu Kè - Dừa sáp","Cau Ke, Tra Vinh, Vietnam","9.867","106.079","manual_adjusted","Trung tâm Y tế huyện Cầu Kè, 30 Tháng 4, Cầu Kè, Xã Cầu Kè, Tỉnh Vĩnh Long, 87000, Việt Nam"
"ben_tre_center","Trung tâm Bến Tre","Ben Tre city, Vietnam","10.2361217","106.3763684","nominatim","Bến Tre, Phường An Hội, Tỉnh Vĩnh Long, 07584, Việt Nam"
"con_phung","Cồn Phụng","Con Phung, Ben Tre, Vietnam","10.335","106.332","manual_adjusted",""
"lan_vuong","Lan Vương","Lan Vuong, Ben Tre, Vietnam","10.238","106.337","manual_adjusted",""
"cho_lach","Chợ Lách - Cái Mơn","Cho Lach, Ben Tre, Vietnam","10.257","106.118","manual_adjusted",""
"binh_dai","Bình Đại","Binh Dai, Ben Tre, Vietnam","10.192","106.679","manual_adjusted","Cảng Cá Bình Thắng, Đồng Khởi, Xã Bình Đại, Tỉnh Vĩnh Long, Việt Nam"
"ba_tri","Ba Tri","Ba Tri, Ben Tre, Vietnam","10.045","106.591","manual_adjusted","Nhà Hát Ba Tri, Nguyễn Đình Chiểu, Xã Ba Tri, Tỉnh Vĩnh Long, Việt Nam"
"tphcm","TP.HCM","Ho Chi Minh City, Vietnam","10.8186965","106.6518346","nominatim","Thành phố Hồ Chí Minh, Việt Nam"
"can_tho","Cần Thơ","Can Tho, Vietnam","10.0362046","105.7872656","nominatim","Thành phố Cần Thơ, Việt Nam"